C003-FB-14-10m' P3-1
C001-FB-10-10m' P3-1
C001-Ctb_Y-10-10o' P3-1
C089-FB-10-10m' P3-1
C052-Ctb_R-TH_TF' P1-2
C012L-CtbY-MST' P1-2
C070-Ctb_R-7A-Opt' P1-2
C011-Ctb_R-DP' P1-2
C076-Ctb_R-PBc' P1-2
C034-Ctb_R-7A-PG' P1-2
C067-FB-TEpd' P1-2
C061-FB-MST_MT' P1-2
C023-Ctb_R-8r' P1-2
C051-FB-PBr' P1-3
C005-Ctb_R-46v' P1-3
C076-FB-PBc' P1-3
C037-Ctb_R-9-9m' P1-3
C057-Ctb_R-v23b' P1-3
C002-Ctb_Y-STPc' P1-3
C007-Ctb_Y-12-12l' P1-3
C005-FB-9-9d' P1-3
C003-Ctb_Y-24b' P1-3
C058-Ctb_R-32' P1-3
C040-Ctb_R-9_24c' P1-3
C069-FB-24c' P1-4
C056-Ctb_R-45A' P1-4
C006-Ctb_R-9_46v' P1-4
C074-Ctb_Y-F7' P1-4
C006-FB-F7' P1-4
C052-FB-INS' P1-4
C052-Ctb_Y-INS' P1-4
C001-Ctb_R-F6' P1-4
C025-Ctb_R-44' P1-4
C015L-FB-23b' P1-4
C089-Ctb_R-8B-8Bd' P1-4
C023-Ctb_Y-8r' P1-4
C049-Ctb_Y-9_46d' P1-4
C030L-FB-9_46d' P1-4
C030-Ctb_R-9_46d' P1-4
C089-Ctb_Y-46d' P1-4
C053-Ctb_R-46d' P1-4
C049-Ctb_R-31' P1-4
C026L-FB-Tpt' P1-4
C015-Ctb_R-Tpt' P1-4
C007-Ctb_R-8B-8Bd' P1-4
C088-Ctb_R-F7' P1-4
C031-Ctb_R-8B-8Bm' P1-4
C063-Ctb_R-TEOm' P2-1
C059L-FB-V4c' P2-1
C081-FB-V1fpLF' P2-1
C084-Ctb_R-V4fpUF' P2-1
C081-Ctb_Y-V1pcLF' P2-1
C054-Ctb_Y-V1c' P2-1
C054-Ctb_R-V1c' P2-1
C032-Ctb_Y-V4t' P2-1
C095-Ctb_R-V2fpUF' P2-1
C054-FB-V1fpLF' P2-1
C083-Ctb_Y-V1c' P2-1
C081-Ctb_R-V1c' P2-1
C094L-Ctb_R-V2fpUF' P2-1
C062-FB-V1pcLF' P2-1
C008-Ctb_Y-V4pcLF' P2-1
C058-FB-V1pcUF' P2-1
C034-FB-V2c' P2-1
C063-Ctb_Y-V4c' P2-1
C060-Ctb_R-V1fpUF' P2-1
C067-Ctb_R-TEO' P2-1
C063-FB-TEO-2' P2-1
C098-Ctb_R-OPRO-lao' P3-1
C042-FB-ENTO' P3-1
C097-Ctb_R-POLE' P3-1
C087-FB-V6A' P4-1
C078-Ctb_Y-V6A' P4-1
C077-Ctb_R-V6A' P4-1
C051-Ctb_R-F4' P4-2
C021-Ctb_R-7B-PFG' P4-2
C056-CTB555-F3' P4-2
C091-FB-7B-PF' P4-2
C046-FB-7A-PGop' P4-2
C027-Ctb_Y-7B-PFop' P4-2
C051-Ctb_Y-3' P4-2
C018-Ctb_R-3' P4-2
C031-Ctb_Y-8l' P4-2
C079-Ctb_R-F4' P4-2
C007-FB-F2' P4-2
C086-Ctb_R-F2' P4-2
C068-Ctb_Y-F2' P4-2
C079-FB-F4' P4-2
C064-FB-ProM' P4-2
C091-Ctb_R-2' P4-2
C040-Ctb_Y-F5' P4-2
C046-Ctb_Y-2' P4-2
C071-FB-5-PE' P4-2
C038-FB-5-PE' P4-2
C079-Ctb_Y-F5' P4-2
C027-FB-5-PE' P4-2
C109-Ctb_R-F1' P4-3
C018-Ctb_Y-F1' P4-3
C008-Ctb_G-23c' P4-3
C074-FB-F1' P4-3
C055-FB-F1' P4-3
C086-FB-F1' P4-3
C006-Ctb_G-F1' P4-3
C051-Ctb_R-F1' P4-3
C043-Ctb_R-2' P4-3
C018-FB-F1' P4-3
C041-Ctb_Y-1' P4-3
C041-Ctb_R-1' P4-3
